"('mid',)","('ordering',)","('pid',)","('category',)","('job',)"
tt0033870,8,nm0249186,cinematographer,director of photography
tt0033870,9,nm0724360,editor,film editor
tt0034492,10,nm0766402,director,sequence director
tt0034492,1,nm0017013,actor,
tt0034492,2,nm0018755,actor,
tt0034492,3,nm1027883,actress,
tt0034492,4,nm0066951,actor,
tt0034492,5,nm0019282,director,sequence director
tt0034492,6,nm0035899,director,sequence director
tt0034492,7,nm0359457,director,supervising director
tt0034492,8,nm0373871,director,sequence director
tt0034492,9,nm0730860,director,sequence director
tt0034583,10,nm0019706,writer,play
tt0034583,1,nm0000007,actor,
tt0034583,2,nm0000006,actress,
tt0034583,3,nm0002134,actor,
tt0034583,4,nm0001647,actor,
tt0034583,5,nm0002031,director,
tt0034583,6,nm0258493,writer,screenplay
tt0034583,7,nm0258525,writer,screenplay
tt0034583,8,nm0462321,writer,screenplay
tt0034583,9,nm0122417,writer,play
tt0036775,1,nm0534045,actor,
tt0036775,2,nm0001766,actress,
tt0036775,3,nm0000064,actor,
tt0036775,4,nm0056477,actor,
tt0036775,5,nm0000697,director,
tt0036775,6,nm0151452,writer,screenplay
tt0036775,7,nm0128906,writer,from the novel by
tt0036775,8,nm0000067,composer,
tt0036775,9,nm0005870,cinematographer,director of photography
tt0038650,10,nm0933858,writer,contributor to screenplay
tt0038650,1,nm0000071,actor,
tt0038650,2,nm0001656,actress,
tt0038650,3,nm0000859,actor,
tt0038650,4,nm0593775,actor,
tt0038650,5,nm0001008,director,
tt0038650,6,nm0329304,writer,screenplay
tt0038650,7,nm0352443,writer,screenplay
tt0038650,8,nm0842485,writer,additional scenes
tt0038650,9,nm0827821,writer,story
tt0040522,10,nm0290000,writer,screenplay
tt0040522,1,nm0536009,actor,
tt0040522,2,nm0821543,actor,
tt0040522,3,nm0136794,actress,
tt0040522,4,nm0022821,actress,
tt0040522,5,nm0001120,director,
tt0040522,6,nm0953790,writer,story
tt0040522,7,nm0059030,writer,novel
tt0040522,8,nm0080755,writer,screenplay
tt0040522,9,nm0147599,writer,screenplay
tt0040746,10,nm0005877,cinematographer,director of photography
tt0040746,1,nm0000071,actor,
tt0040746,2,nm0197982,actor,
tt0040746,3,nm0335048,actor,
tt0040746,4,nm0389516,actor,
tt0040746,5,nm0000033,director,
tt0040746,6,nm0002025,writer,adapted by
tt0040746,7,nm0358096,writer,from the play by
tt0040746,8,nm0491306,writer,screenplay
tt0040746,9,nm0372942,writer,
tt0040897,10,nm0548929,editor,
tt0040897,1,nm0000007,actor,
tt0040897,2,nm0404158,actor,
tt0040897,3,nm0392529,actor,
tt0040897,4,nm0071636,actor,
tt0040897,5,nm0001379,director,
tt0040897,6,nm0871252,writer,based on the novel by
tt0040897,7,nm0087533,producer,producer
tt0040897,8,nm0000070,composer,
tt0040897,9,nm0005792,cinematographer,director of photography
tt0041959,1,nm0000080,actor,
tt0041959,2,nm0001072,actor,
tt0041959,3,nm0885098,actress,
tt0041959,4,nm0002145,actor,
