"('mid',)","('genre',)"
tt0073629,Horror
tt0073629,Musical
tt0074119,Drama
tt0074119,History
tt0074119,Thriller
tt0074285,Horror
tt0074285,Mystery
tt0074486,Fantasy
tt0074486,Horror
tt0074958,Drama
tt0075005,Horror
tt0075005,Mystery
tt0075148,Drama
tt0075148,Sport
tt0075314,Crime
tt0075314,Drama
tt0075686,Comedy
tt0075686,Romance
tt0075860,Drama
tt0075860,Sci-Fi
tt0076752,Action
tt0076752,Adventure
tt0076752,Thriller
tt0076759,Action
tt0076759,Adventure
tt0076759,Fantasy
tt0077402,Horror
tt0077402,Thriller
tt0077416,Drama
tt0077416,War
tt0077631,Comedy
tt0077631,Musical
tt0077631,Romance
tt0077651,Horror
tt0077651,Thriller
tt0077975,Comedy
tt0078346,Action
tt0078346,Adventure
tt0078346,Sci-Fi
tt0078748,Horror
tt0078748,Sci-Fi
tt0078788,Drama
tt0078788,Mystery
tt0078788,War
tt0079116,Action
tt0079116,Biography
tt0079116,Crime
tt0079417,Drama
tt0079470,Comedy
tt0079501,Action
tt0079501,Adventure
tt0079501,Sci-Fi
tt0079522,Comedy
tt0079522,Drama
tt0079522,Romance
tt0079817,Drama
tt0079817,Sport
tt0079944,Drama
tt0079944,Sci-Fi
tt0080120,Action
tt0080120,Crime
tt0080120,Thriller
tt0080339,Comedy
tt0080455,Action
tt0080455,Adventure
tt0080455,Comedy
tt0080487,Comedy
tt0080487,Sport
tt0080678,Biography
tt0080678,Drama
tt0080684,Action
tt0080684,Adventure
tt0080684,Fantasy
tt0080761,Horror
tt0080761,Mystery
tt0080761,Thriller
tt0081398,Biography
tt0081398,Drama
tt0081398,Sport
tt0081505,Drama
tt0081505,Horror
tt0081573,Action
tt0081573,Adventure
tt0081573,Sci-Fi
tt0082010,Comedy
tt0082010,Horror
tt0082096,Drama
tt0082096,War
tt0082198,Action
tt0082198,Adventure
tt0082198,Fantasy
tt0082340,Action
tt0082340,Adventure
tt0082340,Sci-Fi
tt0082694,Action
tt0082694,Adventure
tt0082694,Sci-Fi
tt0082971,Action
tt0082971,Adventure
tt0083658,Action
tt0083658,Drama
tt0083658,Sci-Fi
tt0083866,Adventure
tt0083866,Family
tt0083866,Sci-Fi
tt0083907,Horror
tt0083929,Comedy
tt0083929,Drama
tt0083944,Action
tt0083944,Adventure
tt0083944,Thriller
tt0083987,Biography
tt0083987,Drama
tt0084516,Horror
tt0084516,Thriller
tt0084602,Drama
tt0084602,Sport
tt0084726,Action
tt0084726,Adventure
tt0084726,Sci-Fi
tt0084787,Horror
tt0084787,Mystery
tt0084787,Sci-Fi
tt0084805,Comedy
tt0084805,Drama
tt0084805,Romance
tt0084827,Action
tt0084827,Adventure
tt0084827,Sci-Fi
tt0085334,Comedy
tt0085334,Family
tt0085959,Comedy
tt0085959,Musical
tt0085995,Adventure
tt0085995,Comedy
tt0086034,Action
tt0086034,Adventure
tt0086034,Thriller
tt0086190,Action
tt0086190,Adventure
tt0086190,Fantasy
tt0086250,Crime
tt0086250,Drama
tt0086465,Comedy
tt0086879,Biography
tt0086879,Drama
tt0086879,Music
tt0086960,Action
tt0086960,Comedy
tt0086960,Crime
tt0087182,Action
tt0087182,Adventure
tt0087182,Sci-Fi
tt0087332,Action
tt0087332,Comedy
tt0087332,Fantasy
tt0087363,Comedy
tt0087363,Fantasy
tt0087363,Horror
tt0087469,Action
tt0087469,Adventure
tt0087538,Action
tt0087538,Drama
tt0087538,Family
tt0087544,Adventure
tt0087544,Animation
tt0087544,Sci-Fi
tt0087800,Horror
tt0087843,Crime
tt0087843,Drama
tt0087884,Drama
tt0087928,Comedy
tt0088128,Comedy
tt0088128,Romance
tt0088247,Action
tt0088247,Sci-Fi
tt0088258,Comedy
tt0088258,Music
tt0088323,Adventure
tt0088323,Drama
tt0088323,Family
tt0088763,Adventure
tt0088763,Comedy
tt0088763,Sci-Fi
tt0088846,Drama
tt0088846,Sci-Fi
tt0088847,Comedy
tt0088847,Drama
tt0088944,Action
tt0088944,Adventure
tt0088944,Thriller
tt0089218,Adventure
tt0089218,Comedy
tt0089218,Family
tt0089530,Action
tt0089530,Adventure
tt0089530,Sci-Fi
tt0089880,Action
tt0089880,Adventure
tt0089880,Thriller
tt0089881,Action
tt0089881,Drama
tt0089881,War
tt0089927,Drama
tt0089927,Sport
tt0090555,Action
tt0090555,Adventure
tt0090555,Comedy
tt0090605,Action
tt0090605,Adventure
tt0090605,Sci-Fi
tt0090728,Action
tt0090728,Adventure
tt0090728,Comedy
tt0090756,Crime
tt0090756,Drama
tt0090756,Mystery
tt0091042,Comedy
tt0091064,Drama
tt0091064,Horror
tt0091064,Sci-Fi
tt0091203,Action
tt0091203,Adventure
tt0091203,Fantasy
tt0091369,Adventure
tt0091369,Family
tt0091369,Fantasy
tt0091605,Drama
tt0091605,History
tt0091605,Mystery
tt0091763,Drama
tt0091763,War
tt0092005,Adventure
tt0092005,Drama
tt0092067,Adventure
tt0092067,Animation
tt0092067,Family
tt0092099,Action
tt0092099,Drama
tt0092644,Action
tt0092644,Comedy
tt0092644,Crime
tt0092890,Drama
tt0092890,Music
tt0092890,Romance
tt0092965,Drama
tt0092965,History
tt0092965,War
tt0092991,Comedy
tt0092991,Horror
tt0093058,Drama
tt0093058,War
tt0093105,Biography
tt0093105,Comedy
tt0093105,Drama
tt0093177,Horror
tt0093177,Thriller
tt0093389,Biography
tt0093389,Drama
tt0093389,History
tt0093409,Action
tt0093409,Crime
tt0093409,Thriller
tt0093437,Comedy
tt0093437,Horror
tt0093748,Comedy
tt0093748,Drama
tt0093773,Action
tt0093773,Adventure
tt0093773,Horror
tt0093779,Adventure
tt0093779,Family
tt0093779,Fantasy
tt0093822,Comedy
tt0093822,Crime
tt0093870,Action
tt0093870,Crime
tt0093870,Sci-Fi
tt0093894,Action
tt0093894,Sci-Fi
tt0093894,Thriller
tt0094012,Adventure
tt0094012,Comedy
tt0094012,Sci-Fi
tt0094226,Crime
tt0094226,Drama
tt0094226,Thriller
tt0094291,Crime
tt0094291,Drama
tt0094625,Action
tt0094625,Animation
tt0094625,Drama
tt0094721,Comedy
tt0094721,Fantasy
tt0094737,Comedy
tt0094737,Drama
tt0094737,Fantasy
tt0094898,Comedy
tt0094898,Romance
tt0095016,Action
tt0095016,Thriller
tt0095159,Comedy
tt0095159,Crime
tt0095327,Animation
tt0095327,Drama
tt0095327,War
tt0095705,Comedy
tt0095705,Crime
tt0095765,Drama
tt0095765,Romance
tt0095953,Drama
tt0095956,Action
tt0095956,Adventure
tt0095956,Thriller
tt0096256,Action
tt0096256,Horror
tt0096256,Sci-Fi
tt0096283,Animation
tt0096283,Comedy
tt0096283,Family
tt0096320,Comedy
tt0096320,Crime
tt0096438,Adventure
tt0096438,Animation
tt0096438,Comedy
tt0096446,Action
tt0096446,Adventure
tt0096446,Drama
tt0096754,Adventure
tt0096754,Drama
tt0096754,Mystery
tt0096874,Adventure
tt0096874,Comedy
tt0096874,Sci-Fi
tt0096895,Action
tt0096895,Adventure
tt0096928,Adventure
tt0096928,Comedy
tt0096928,Music
tt0096969,Biography
tt0096969,Drama
tt0096969,War
tt0097165,Comedy
tt0097165,Drama
tt0097239,Drama
tt0097351,Drama
tt0097351,Family
tt0097351,Fantasy
tt0097428,Action
tt0097428,Comedy
tt0097428,Fantasy
tt0097441,Biography
tt0097441,Drama
tt0097441,History
tt0097523,Adventure
tt0097523,Comedy
tt0097523,Family
tt0097576,Action
tt0097576,Adventure
tt0097733,Action
tt0097733,Crime
tt0097733,Thriller
tt0097742,Action
tt0097742,Adventure
tt0097742,Thriller
tt0097757,Adventure
tt0097757,Animation
tt0097757,Comedy
tt0097814,Animation
tt0097814,Family
tt0097814,Fantasy
tt0097958,Comedy
tt0098084,Fantasy
tt0098084,Horror
tt0098084,Thriller
tt0098439,Action
tt0098439,Comedy
tt0098439,Crime
tt0098635,Comedy
tt0098635,Drama
tt0098635,Romance
tt0099077,Biography
tt0099077,Drama
tt0099088,Adventure
tt0099088,Comedy
tt0099088,Sci-Fi
tt0099348,Adventure
tt0099348,Drama
tt0099348,Western
tt0099423,Action
tt0099423,Thriller
tt0099487,Drama
tt0099487,Fantasy
tt0099487,Romance
tt0099653,Drama
tt0099653,Fantasy
tt0099653,Romance
tt0099674,Crime
tt0099674,Drama
tt0099685,Biography
tt0099685,Crime
tt0099685,Drama
tt0099700,Comedy
tt0099700,Fantasy
tt0099700,Horror
tt0099785,Comedy
tt0099785,Family
tt0099810,Action
tt0099810,Adventure
tt0099810,Thriller
tt0099871,Drama
tt0099871,Horror
tt0099871,Mystery
tt0099938,Action
tt0099938,Comedy
tt0099938,Crime
tt0100150,Crime
tt0100150,Drama
tt0100150,Thriller
tt0100157,Drama
tt0100157,Thriller
tt0100403,Action
tt0100403,Horror
tt0100403,Sci-Fi
tt0100405,Comedy
tt0100405,Romance
tt0100507,Drama
tt0100507,Sport
tt0100802,Action
tt0100802,Adventure
tt0100802,Sci-Fi
tt0100814,Comedy
tt0100814,Horror
tt0101272,Comedy
tt0101272,Fantasy
tt0101410,Comedy
tt0101410,Drama
tt0101410,Thriller
tt0101414,Animation
tt0101414,Family
tt0101414,Fantasy
tt0101507,Crime
tt0101507,Drama
tt0101540,Crime
tt0101540,Thriller
tt0102057,Adventure
tt0102057,Comedy
tt0102057,Family
tt0102059,Action
tt0102059,Comedy
tt0102138,Drama
tt0102138,History
