"('mid',)","('titleType',)","('primaryTitle',)","('originalTitle',)","('isAdult',)","('startYear',)","('endYear',)","('runtimeMinutes',)"
tt0065421,movie,The Aristocats,The AristoCats,0,1970,,78
tt0066206,movie,Patton,Patton,0,1970,,172
tt0066921,movie,A Clockwork Orange,A Clockwork Orange,0,1971,,136
tt0066995,movie,Diamonds Are Forever,Diamonds Are Forever,0,1971,,120
tt0066999,movie,Dirty Harry,Dirty Harry,0,1971,,102
tt0067116,movie,The French Connection,The French Connection,0,1971,,104
tt0067992,movie,Willy Wonka & the Chocolate Factory,Willy Wonka & the Chocolate Factory,0,1971,,100
tt0068473,movie,Deliverance,Deliverance,0,1972,,109
tt0068646,movie,The Godfather,The Godfather,0,1972,,175
tt0070034,movie,Enter the Dragon,Enter the Dragon,0,1973,,102
tt0070047,movie,The Exorcist,The Exorcist,0,1973,,122
tt0070328,movie,Live and Let Die,Live and Let Die,0,1973,,121
tt0070379,movie,Mean Streets,Mean Streets,0,1973,,112
tt0070511,movie,Papillon,Papillon,0,1973,,151
tt0070608,movie,Robin Hood,Robin Hood,0,1973,,83
tt0070666,movie,Serpico,Serpico,0,1973,,130
tt0070735,movie,The Sting,The Sting,0,1973,,129
tt0071230,movie,Blazing Saddles,Blazing Saddles,0,1974,,93
tt0071315,movie,Chinatown,Chinatown,0,1974,,130
tt0071360,movie,The Conversation,The Conversation,0,1974,,113
tt0071562,movie,The Godfather: Part II,The Godfather: Part II,0,1974,,202
tt0071807,movie,The Man with the Golden Gun,The Man with the Golden Gun,0,1974,,125
tt0071853,movie,Monty Python and the Holy Grail,Monty Python and the Holy Grail,0,1975,,91
tt0072271,movie,The Texas Chain Saw Massacre,The Texas Chain Saw Massacre,0,1974,,83
tt0072431,movie,Young Frankenstein,Young Frankenstein,0,1974,,106
tt0072684,movie,Barry Lyndon,Barry Lyndon,0,1975,,185
tt0072890,movie,Dog Day Afternoon,Dog Day Afternoon,0,1975,,125
tt0073195,movie,Jaws,Jaws,0,1975,,124
tt0073486,movie,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,0,1975,,133
tt0073629,movie,The Rocky Horror Picture Show,The Rocky Horror Picture Show,0,1975,,100
tt0074119,movie,All the President's Men,All the President's Men,0,1976,,138
tt0074285,movie,Carrie,Carrie,0,1976,,98
tt0074486,movie,Eraserhead,Eraserhead,0,1977,,89
tt0074958,movie,Network,Network,0,1976,,121
tt0075005,movie,The Omen,The Omen,0,1976,,111
tt0075148,movie,Rocky,Rocky,0,1976,,120
tt0075314,movie,Taxi Driver,Taxi Driver,0,1976,,114
tt0075686,movie,Annie Hall,Annie Hall,0,1977,,93
tt0075860,movie,Close Encounters of the Third Kind,Close Encounters of the Third Kind,0,1977,,138
tt0076752,movie,The Spy Who Loved Me,The Spy Who Loved Me,0,1977,,125
tt0076759,movie,Star Wars,Star Wars,0,1977,,121
tt0077402,movie,Dawn of the Dead,Dawn of the Dead,0,1978,,127
tt0077416,movie,The Deer Hunter,The Deer Hunter,0,1978,,183
tt0077631,movie,Grease,Grease,0,1978,,110
tt0077651,movie,Halloween,Halloween,0,1978,,91
tt0077975,movie,National Lampoon's Animal House,National Lampoon's Animal House,0,1978,,109
tt0078346,movie,Superman,Superman,0,1978,,143
tt0078748,movie,Alien,Alien,0,1979,,117
tt0078788,movie,Apocalypse Now,Apocalypse Now,0,1979,,147
tt0079116,movie,Escape from Alcatraz,Escape from Alcatraz,0,1979,,112
tt0079417,movie,Kramer vs. Kramer,Kramer vs. Kramer,0,1979,,105
tt0079470,movie,Life of Brian,Life of Brian,0,1979,,94
tt0079501,movie,Mad Max,Mad Max,0,1979,,88
tt0079522,movie,Manhattan,Manhattan,0,1979,,96
tt0079817,movie,Rocky II,Rocky II,0,1979,,119
tt0079944,movie,Stalker,Stalker,0,1979,,162
tt0080120,movie,The Warriors,The Warriors,0,1979,,92
tt0080339,movie,Airplane!,Airplane!,0,1980,,88
tt0080455,movie,The Blues Brothers,The Blues Brothers,0,1980,,133
tt0080487,movie,Caddyshack,Caddyshack,0,1980,,98
tt0080678,movie,The Elephant Man,The Elephant Man,0,1980,,124
tt0080684,movie,Star Wars: Episode V - The Empire Strikes Back,The Empire Strikes Back,0,1980,,124
tt0080761,movie,Friday the 13th,Friday the 13th,0,1980,,95
tt0081398,movie,Raging Bull,Raging Bull,0,1980,,129
tt0081505,movie,The Shining,The Shining,0,1980,,146
tt0081573,movie,Superman II,Superman II,0,1980,,127
tt0082010,movie,An American Werewolf in London,An American Werewolf in London,0,1981,,97
tt0082096,movie,The Boat,Das Boot,0,1981,,149
tt0082198,movie,Conan the Barbarian,Conan the Barbarian,0,1982,,129
tt0082340,movie,Escape from New York,Escape from New York,0,1981,,99
tt0082694,movie,The Road Warrior,Mad Max 2,0,1981,,96
tt0082971,movie,Indiana Jones and the Raiders of the Lost Ark,Raiders of the Lost Ark,0,1981,,115
tt0083658,movie,Blade Runner,Blade Runner,0,1982,,117
tt0083866,movie,E.T. the Extra-Terrestrial,E.T. the Extra-Terrestrial,0,1982,,115
tt0083907,movie,The Evil Dead,The Evil Dead,0,1981,,85
tt0083929,movie,Fast Times at Ridgemont High,Fast Times at Ridgemont High,0,1982,,90
tt0083944,movie,First Blood,First Blood,0,1982,,93
tt0083987,movie,Gandhi,Gandhi,0,1982,,191
tt0084516,movie,Poltergeist,Poltergeist,0,1982,,114
tt0084602,movie,Rocky III,Rocky III,0,1982,,99
tt0084726,movie,Star Trek II: The Wrath of Khan,Star Trek II: The Wrath of Khan,0,1982,,113
tt0084787,movie,The Thing,The Thing,0,1982,,109
tt0084805,movie,Tootsie,Tootsie,0,1982,,116
tt0084827,movie,TRON,TRON,0,1982,,96
tt0085334,movie,A Christmas Story,A Christmas Story,0,1983,,93
tt0085959,movie,The Meaning of Life,The Meaning of Life,0,1983,,107
tt0085995,movie,National Lampoon's Vacation,National Lampoon's Vacation,0,1983,,98
tt0086034,movie,Octopussy,Octopussy,0,1983,,131
tt0086190,movie,Star Wars: Episode VI - Return of the Jedi,Star Wars: Episode VI - Return of the Jedi,0,1983,,131
tt0086250,movie,Scarface,Scarface,0,1983,,170
tt0086465,movie,Trading Places,Trading Places,0,1983,,116
tt0086879,movie,Amadeus,Amadeus,0,1984,,160
tt0086960,movie,Beverly Hills Cop,Beverly Hills Cop,0,1984,,105
tt0087182,movie,Dune,Dune,0,1984,,137
tt0087332,movie,Ghostbusters,Ghostbusters,0,1984,,105
tt0087363,movie,Gremlins,Gremlins,0,1984,,106
tt0087469,movie,Indiana Jones and the Temple of Doom,Indiana Jones and the Temple of Doom,0,1984,,118
tt0087538,movie,The Karate Kid,The Karate Kid,0,1984,,126
tt0087544,movie,Nausicaä of the Valley of the Wind,Kaze no tani no Naushika,0,1984,,117
tt0087800,movie,A Nightmare on Elm Street,A Nightmare on Elm Street,0,1984,,91
tt0087843,movie,Once Upon a Time in America,Once Upon a Time in America,0,1984,,229
tt0087884,movie,"Paris, Texas","Paris, Texas",0,1984,,145
tt0087928,movie,Police Academy,Police Academy,0,1984,,96
tt0088128,movie,Sixteen Candles,Sixteen Candles,0,1984,,93
tt0088247,movie,The Terminator,The Terminator,0,1984,,107
tt0088258,movie,This Is Spinal Tap,This Is Spinal Tap,0,1984,,82
tt0088323,movie,The NeverEnding Story,Die unendliche Geschichte,0,1984,,102
tt0088763,movie,Back to the Future,Back to the Future,0,1985,,116
tt0088846,movie,Brazil,Brazil,0,1985,,132
tt0088847,movie,The Breakfast Club,The Breakfast Club,0,1985,,97
tt0088944,movie,Commando,Commando,0,1985,,90
tt0089218,movie,The Goonies,The Goonies,0,1985,,114
tt0089530,movie,Mad Max Beyond Thunderdome,Mad Max Beyond Thunderdome,0,1985,,107
tt0089880,movie,Rambo: First Blood Part II,Rambo: First Blood Part II,0,1985,,96
tt0089881,movie,Ran,Ran,0,1985,,162
tt0089927,movie,Rocky IV,Rocky IV,0,1985,,91
tt0090555,movie,Crocodile Dundee,Crocodile Dundee,0,1986,,97
tt0090605,movie,Aliens,Aliens,0,1986,,137
tt0090728,movie,Big Trouble in Little China,Big Trouble in Little China,0,1986,,99
tt0090756,movie,Blue Velvet,Blue Velvet,0,1986,,120
tt0091042,movie,Ferris Bueller's Day Off,Ferris Bueller's Day Off,0,1986,,103
tt0091064,movie,The Fly,The Fly,0,1986,,96
tt0091203,movie,Highlander,Highlander,0,1986,,116
tt0091369,movie,Labyrinth,Labyrinth,0,1986,,101
tt0091605,movie,The Name of the Rose,Der Name der Rose,0,1986,,130
tt0091763,movie,Platoon,Platoon,0,1986,,120
tt0092005,movie,Stand by Me,Stand by Me,0,1986,,89
tt0092067,movie,Castle in the Sky,Tenkû no shiro Rapyuta,0,1986,,125
tt0092099,movie,Top Gun,Top Gun,0,1986,,110
tt0092644,movie,Beverly Hills Cop II,Beverly Hills Cop II,0,1987,,100
tt0092890,movie,Dirty Dancing,Dirty Dancing,0,1987,,100
tt0092965,movie,Empire of the Sun,Empire of the Sun,0,1987,,153
tt0092991,movie,Evil Dead II,Evil Dead II,0,1987,,84
tt0093058,movie,Full Metal Jacket,Full Metal Jacket,0,1987,,116
tt0093105,movie,"Good Morning, Vietnam","Good Morning, Vietnam",0,1987,,121
tt0093177,movie,Hellraiser,Hellraiser,0,1987,,94
tt0093389,movie,The Last Emperor,The Last Emperor,0,1987,,163
tt0093409,movie,Lethal Weapon,Lethal Weapon,0,1987,,109
tt0093437,movie,The Lost Boys,The Lost Boys,0,1987,,97
tt0093748,movie,"Planes, Trains & Automobiles","Planes, Trains & Automobiles",0,1987,,93
tt0093773,movie,Predator,Predator,0,1987,,107
tt0093779,movie,The Princess Bride,The Princess Bride,0,1987,,98
tt0093822,movie,Raising Arizona,Raising Arizona,0,1987,,94
tt0093870,movie,RoboCop,RoboCop,0,1987,,102
tt0093894,movie,The Running Man,The Running Man,0,1987,,101
tt0094012,movie,Spaceballs,Spaceballs,0,1987,,96
tt0094226,movie,The Untouchables,The Untouchables,0,1987,,119
tt0094291,movie,Wall Street,Wall Street,0,1987,,126
tt0094625,movie,Akira,Akira,0,1988,,124
tt0094721,movie,Beetlejuice,Beetle Juice,0,1988,,92
tt0094737,movie,Big,Big,0,1988,,104
tt0094898,movie,Coming to America,Coming to America,0,1988,,117
tt0095016,movie,Die Hard,Die Hard,0,1988,,132
tt0095159,movie,A Fish Called Wanda,A Fish Called Wanda,0,1988,,108
tt0095327,movie,Grave of the Fireflies,Hotaru no haka,0,1988,,89
tt0095705,movie,The Naked Gun: From the Files of Police Squad!,The Naked Gun: From the Files of Police Squad!,0,1988,,85
tt0095765,movie,Cinema Paradiso,Nuovo Cinema Paradiso,0,1988,,155
tt0095953,movie,Rain Man,Rain Man,0,1988,,133
tt0095956,movie,Rambo III,Rambo III,0,1988,,102
tt0096256,movie,They Live,They Live,0,1988,,94
tt0096283,movie,My Neighbor Totoro,Tonari no Totoro,0,1988,,86
tt0096320,movie,Twins,Twins,0,1988,,107
tt0096438,movie,Who Framed Roger Rabbit,Who Framed Roger Rabbit,0,1988,,104
tt0096446,movie,Willow,Willow,0,1988,,126
tt0096754,movie,The Abyss,The Abyss,0,1989,,140
tt0096874,movie,Back to the Future Part II,Back to the Future Part II,0,1989,,108
tt0096895,movie,Batman,Batman,0,1989,,126
tt0096928,movie,Bill & Ted's Excellent Adventure,Bill & Ted's Excellent Adventure,0,1989,,90
tt0096969,movie,Born on the Fourth of July,Born on the Fourth of July,0,1989,,145
tt0097165,movie,Dead Poets Society,Dead Poets Society,0,1989,,128
tt0097239,movie,Driving Miss Daisy,Driving Miss Daisy,0,1989,,99
tt0097351,movie,Field of Dreams,Field of Dreams,0,1989,,107
tt0097428,movie,Ghostbusters II,Ghostbusters II,0,1989,,108
tt0097441,movie,Glory,Glory,0,1989,,122
tt0097523,movie,"Honey, I Shrunk the Kids","Honey, I Shrunk the Kids",0,1989,,93
tt0097576,movie,Indiana Jones and the Last Crusade,Indiana Jones and the Last Crusade,0,1989,,127
tt0097733,movie,Lethal Weapon 2,Lethal Weapon 2,0,1989,,114
tt0097742,movie,Licence to Kill,Licence to Kill,0,1989,,133
tt0097757,movie,The Little Mermaid,The Little Mermaid,0,1989,,83
tt0097814,movie,Kiki's Delivery Service,Majo no takkyûbin,0,1989,,103
tt0097958,movie,National Lampoon's Christmas Vacation,National Lampoon's Christmas Vacation,0,1989,,97
tt0098084,movie,Pet Sematary,Pet Sematary,0,1989,,103
tt0098439,movie,Tango & Cash,Tango & Cash,0,1989,,104
tt0098635,movie,When Harry Met Sally...,When Harry Met Sally...,0,1989,,95
tt0099077,movie,Awakenings,Awakenings,0,1990,,121
tt0099088,movie,Back to the Future Part III,Back to the Future Part III,0,1990,,118
tt0099348,movie,Dances with Wolves,Dances with Wolves,0,1990,,181
tt0099423,movie,Die Hard 2,Die Hard 2,0,1990,,124
tt0099487,movie,Edward Scissorhands,Edward Scissorhands,0,1990,,105
tt0099653,movie,Ghost,Ghost,0,1990,,127
tt0099674,movie,The Godfather: Part III,The Godfather: Part III,0,1990,,162
tt0099685,movie,Goodfellas,Goodfellas,0,1990,,146
tt0099700,movie,Gremlins 2: The New Batch,Gremlins 2: The New Batch,0,1990,,106
tt0099785,movie,Home Alone,Home Alone,0,1990,,103
tt0099810,movie,The Hunt for Red October,The Hunt for Red October,0,1990,,135
tt0099871,movie,Jacob's Ladder,Jacob's Ladder,0,1990,,113
tt0099938,movie,Kindergarten Cop,Kindergarten Cop,0,1990,,111
tt0100150,movie,Miller's Crossing,Miller's Crossing,0,1990,,115
tt0100157,movie,Misery,Misery,0,1990,,107
tt0100403,movie,Predator 2,Predator 2,0,1990,,108
tt0100405,movie,Pretty Woman,Pretty Woman,0,1990,,119
tt0100507,movie,Rocky V,Rocky V,0,1990,,104
tt0100802,movie,Total Recall,Total Recall,0,1990,,113
tt0100814,movie,Tremors,Tremors,0,1990,,96
tt0101272,movie,The Addams Family,The Addams Family,0,1991,,99
tt0101410,movie,Barton Fink,Barton Fink,0,1991,,116
tt0101414,movie,Beauty and the Beast,Beauty and the Beast,0,1991,,84
tt0101507,movie,Boyz n the Hood,Boyz n the Hood,0,1991,,112
tt0101540,movie,Cape Fear,Cape Fear,0,1991,,128
tt0102057,movie,Hook,Hook,0,1991,,142
tt0102059,movie,Hot Shots!,Hot Shots!,0,1991,,84
tt0102138,movie,JFK,JFK,0,1991,,189
tt0102266,movie,The Last Boy Scout,The Last Boy Scout,0,1991,,105
tt0102510,movie,The Naked Gun 2½: The Smell of Fear,The Naked Gun 2½: The Smell of Fear,0,1991,,85
tt0102685,movie,Point Break,Point Break,0,1991,,122
tt0102798,movie,Robin Hood: Prince of Thieves,Robin Hood: Prince of Thieves,0,1991,,143
tt0102926,movie,The Silence of the Lambs,The Silence of the Lambs,0,1991,,118
tt0103064,movie,Terminator 2: Judgment Day,Terminator 2: Judgment Day,0,1991,,137
tt0103074,movie,Thelma & Louise,Thelma & Louise,0,1991,,130
tt0103639,movie,Aladdin,Aladdin,0,1992,,90
tt0103644,movie,Alien 3,Alien³,0,1992,,114
tt0103772,movie,Basic Instinct,Basic Instinct,0,1992,,127
tt0103776,movie,Batman Returns,Batman Returns,0,1992,,126
tt0103855,movie,The Bodyguard,The Bodyguard,0,1992,,129
tt0103874,movie,Bram Stoker's Dracula,Dracula,0,1992,,128
tt0104070,movie,Death Becomes Her,Death Becomes Her,0,1992,,104
tt0104257,movie,A Few Good Men,A Few Good Men,0,1992,,138
tt0104348,movie,Glengarry Glen Ross,Glengarry Glen Ross,0,1992,,100
tt0104431,movie,Home Alone 2: Lost in New York,Home Alone 2: Lost in New York,0,1992,,120
tt0104691,movie,The Last of the Mohicans,The Last of the Mohicans,0,1992,,112
tt0104694,movie,A League of Their Own,A League of Their Own,0,1992,,128
tt0104714,movie,Lethal Weapon 3,Lethal Weapon 3,0,1992,,118
tt0104952,movie,My Cousin Vinny,My Cousin Vinny,0,1992,,120
tt0105112,movie,Patriot Games,Patriot Games,0,1992,,117
tt0105236,movie,Reservoir Dogs,Reservoir Dogs,0,1992,,99
tt0105323,movie,Scent of a Woman,Scent of a Woman,0,1992,,156
tt0105695,movie,Unforgiven,Unforgiven,0,1992,,130
tt0105793,movie,Wayne's World,Wayne's World,0,1992,,94
tt0106308,movie,Army of Darkness,Army of Darkness,0,1992,,81
tt0106489,movie,A Bronx Tale,A Bronx Tale,0,1993,,121
tt0106519,movie,Carlito's Way,Carlito's Way,0,1993,,144
tt0106582,movie,Cliffhanger,Cliffhanger,0,1993,,113
tt0106611,movie,Cool Runnings,Cool Runnings,0,1993,,98
tt0106677,movie,Dazed and Confused,Dazed and Confused,0,1993,,102
tt0106697,movie,Demolition Man,Demolition Man,0,1993,,115
tt0106856,movie,Falling Down,Falling Down,0,1993,,113
tt0106918,movie,The Firm,The Firm,0,1993,,154
tt0106977,movie,The Fugitive,The Fugitive,0,1993,,130
tt0107048,movie,Groundhog Day,Groundhog Day,0,1993,,101
tt0107120,movie,Hocus Pocus,Hocus Pocus,0,1993,,96
tt0107206,movie,In the Line of Fire,In the Line of Fire,0,1993,,128
tt0107207,movie,In the Name of the Father,In the Name of the Father,0,1993,,133
tt0107290,movie,Jurassic Park,Jurassic Park,0,1993,,127
tt0107362,movie,Last Action Hero,Last Action Hero,0,1993,,130
tt0107614,movie,Mrs. Doubtfire,Mrs. Doubtfire,0,1993,,125
tt0107688,movie,The Nightmare Before Christmas,The Nightmare Before Christmas,0,1993,,76
tt0107818,movie,Philadelphia,Philadelphia,0,1993,,125
tt0107977,movie,Robin Hood: Men in Tights,Robin Hood: Men in Tights,0,1993,,104
tt0108052,movie,Schindler's List,Schindler's List,0,1993,,195
tt0108160,movie,Sleepless in Seattle,Sleepless in Seattle,0,1993,,105
tt0108358,movie,Tombstone,Tombstone,0,1993,,130
tt0108399,movie,True Romance,True Romance,0,1993,,119
tt0108550,movie,What's Eating Gilbert Grape,What's Eating Gilbert Grape,0,1993,,118
tt0109040,movie,Ace Ventura: Pet Detective,Ace Ventura: Pet Detective,0,1994,,86
tt0109445,movie,Clerks,Clerks,0,1994,,92
tt0109506,movie,The Crow,The Crow,0,1994,,102
tt0109686,movie,Dumb and Dumber,Dumb and Dumber,0,1994,,107
tt0109707,movie,Ed Wood,Ed Wood,0,1994,,127
tt0109830,movie,Forrest Gump,Forrest Gump,0,1994,,142
